loss,seed,injected,dropped,claimed,rounds,rev_frames,sha,size,transport,harness,payload_sha256,ts
0,1,259,0,VERIFIED,1,1,MATCH,262144,zmq,clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:25:13Z
0,2,259,0,VERIFIED,1,1,MATCH,262144,zmq,clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:25:28Z
0,3,259,0,VERIFIED,1,1,MATCH,262144,zmq,clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:25:53Z
0.02,1,274,15,VERIFIED,2,2,MATCH,262144,zmq,clean;dup_in=2,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:26:21Z
0.02,2,268,9,VERIFIED,2,2,MATCH,262144,zmq,clean;dup_in=2,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:26:48Z
0.02,3,260,1,VERIFIED,2,2,MATCH,262144,zmq,clean;dup_in=2,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:27:16Z
0.05,1,275,16,VERIFIED,2,2,MATCH,262144,zmq,clean;dup_in=2,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:27:33Z
0.05,2,274,15,VERIFIED,2,2,MATCH,262144,zmq,clean;dup_in=2,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:27:50Z
0.05,3,274,15,VERIFIED,2,2,MATCH,262144,zmq,clean;dup_in=2,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:28:17Z
0.10,1,287,28,VERIFIED,2,2,MATCH,262144,zmq,clean;dup_in=2,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:28:45Z
0.10,2,275,16,VERIFIED,3,3,MATCH,262144,zmq,clean;dup_in=3,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:29:14Z
0.10,3,297,38,VERIFIED,4,4,MATCH,262144,zmq,clean;dup_in=4,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:29:35Z
0.20,1,308,49,VERIFIED,5,5,MATCH,262144,zmq,clean;dup_in=5,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:30:09Z
0.20,2,300,41,VERIFIED,4,4,MATCH,262144,zmq,clean;dup_in=4,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:30:30Z
0.20,3,333,74,VERIFIED,4,4,MATCH,262144,zmq,clean;dup_in=4,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:30:51Z
0.30,1,326,67,VERIFIED,4,4,MATCH,262144,zmq,clean;dup_in=4,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:31:23Z
0.30,2,359,100,VERIFIED,4,4,MATCH,262144,zmq,clean;dup_in=4,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:31:54Z
0.30,3,389,130,VERIFIED,5,5,MATCH,262144,zmq,clean;dup_in=5,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:32:28Z
